# y+ ()         
# Time          	patch           	min             	max             	average         
0.585           	airfoil	6.61621625e-05	1.70170281e-02	2.45481454e-03
0.59            	airfoil	5.00088646e-05	1.70593361e-02	2.48007704e-03
0.595           	airfoil	4.06450234e-05	1.71003321e-02	2.50530648e-03
0.6             	airfoil	7.92420022e-05	1.71400670e-02	2.53064069e-03
0.605           	airfoil	5.02972340e-05	1.71785898e-02	2.55587899e-03
0.61            	airfoil	6.84951518e-05	1.72159485e-02	2.58117961e-03
0.615           	airfoil	2.13345115e-05	1.72521896e-02	2.60655376e-03
0.62            	airfoil	7.39071274e-05	1.72873578e-02	2.63196488e-03
0.625           	airfoil	8.54689069e-05	1.73214969e-02	2.65732890e-03
0.63            	airfoil	4.52842872e-05	1.73546498e-02	2.68266398e-03
0.635           	airfoil	7.42669342e-05	1.73868587e-02	2.70804351e-03
0.64            	airfoil	6.58852944e-05	1.74181638e-02	2.73338563e-03
0.645           	airfoil	5.12397830e-05	1.74486053e-02	2.75869445e-03
0.65            	airfoil	3.08665662e-05	1.74782225e-02	2.78398379e-03
0.655           	airfoil	4.97070468e-05	1.75070537e-02	2.80937889e-03
0.66            	airfoil	3.06960586e-05	1.75351359e-02	2.83472210e-03
0.665           	airfoil	9.44815697e-05	1.75625055e-02	2.86013833e-03
0.67            	airfoil	5.63219654e-05	1.75891975e-02	2.88548474e-03
0.675           	airfoil	2.80799796e-05	1.76152459e-02	2.91071871e-03
0.68            	airfoil	6.86939662e-05	1.76406832e-02	2.93606093e-03
0.685           	airfoil	5.73659235e-05	1.76655408e-02	2.96131179e-03
0.69            	airfoil	1.18749363e-05	1.76898492e-02	2.98660282e-03
0.695           	airfoil	7.96987115e-05	1.77136378e-02	3.01187852e-03
0.7             	airfoil	8.37773965e-05	1.77369351e-02	3.03711796e-03
0.705           	airfoil	9.22826682e-05	1.77597679e-02	3.06243317e-03
0.71            	airfoil	2.95454396e-05	1.77821621e-02	3.08755700e-03
0.715           	airfoil	4.50125632e-05	1.78041422e-02	3.11270621e-03
0.72            	airfoil	6.85569020e-05	1.78263191e-02	3.13797490e-03
0.725           	airfoil	9.04249977e-05	1.78487017e-02	3.16329328e-03
0.73            	airfoil	6.52817955e-05	1.78706913e-02	3.18844868e-03
0.735           	airfoil	1.47329865e-05	1.78923066e-02	3.21338674e-03
0.74            	airfoil	2.49429682e-05	1.79135662e-02	3.23885577e-03
0.745           	airfoil	9.17357400e-05	1.79344885e-02	3.26435459e-03
0.75            	airfoil	7.96780441e-05	1.79550908e-02	3.28969745e-03
0.755           	airfoil	6.48686225e-05	1.79753899e-02	3.31498551e-03
0.76            	airfoil	6.52676849e-05	1.79954019e-02	3.34019564e-03
0.765           	airfoil	3.37148280e-05	1.80151420e-02	3.36530159e-03
0.77            	airfoil	5.79679096e-05	1.80346247e-02	3.39071248e-03
0.775           	airfoil	6.32726792e-05	1.80538637e-02	3.41621135e-03
0.78            	airfoil	1.91004364e-05	1.80728718e-02	3.44173103e-03
