# y+ ()         
# Time          	patch           	min             	max             	average         
0.715           	airfoil	4.30623600e-05	5.24649864e-03	1.35117808e-03
0.72            	airfoil	4.27807846e-05	5.25097286e-03	1.35787917e-03
0.725           	airfoil	4.37530973e-05	5.25632807e-03	1.36482457e-03
0.73            	airfoil	4.22582090e-05	5.26251698e-03	1.37187039e-03
0.735           	airfoil	4.51869609e-05	5.26949400e-03	1.37889908e-03
0.74            	airfoil	1.09469633e-05	5.27717991e-03	1.38590265e-03
0.745           	airfoil	6.34378527e-05	5.28549807e-03	1.39309015e-03
0.75            	airfoil	3.92910673e-05	5.29436512e-03	1.40016875e-03
0.755           	airfoil	4.50864685e-05	5.30369419e-03	1.40718195e-03
0.76            	airfoil	6.42314363e-05	5.31341970e-03	1.41428138e-03
0.765           	airfoil	1.10612394e-05	5.32345867e-03	1.42126359e-03
0.77            	airfoil	6.31268571e-05	5.33373858e-03	1.42821338e-03
0.775           	airfoil	6.72787483e-05	5.34420082e-03	1.43516265e-03
0.78            	airfoil	1.91607506e-05	5.35476583e-03	1.44195914e-03
0.785           	airfoil	5.80405653e-05	5.36538812e-03	1.44866225e-03
0.79            	airfoil	3.00524401e-05	5.37601543e-03	1.45530935e-03
0.795           	airfoil	2.95286372e-05	5.38660785e-03	1.46189271e-03
0.8             	airfoil	1.43389405e-05	5.39711295e-03	1.46832009e-03
0.805           	airfoil	4.57878728e-05	5.40750541e-03	1.47495084e-03
0.81            	airfoil	2.92242827e-05	5.41774661e-03	1.48146730e-03
0.815           	airfoil	3.00401230e-05	5.42780976e-03	1.48789611e-03
0.82            	airfoil	6.03639560e-05	5.43767456e-03	1.49431773e-03
0.825           	airfoil	3.43909528e-05	5.45123525e-03	1.50066938e-03
0.83            	airfoil	1.53900902e-05	5.46344124e-03	1.50686419e-03
0.835           	airfoil	3.20568179e-05	5.47430125e-03	1.51295608e-03
0.84            	airfoil	2.54983490e-05	5.48427357e-03	1.51918544e-03
0.845           	airfoil	1.90916436e-05	5.49361365e-03	1.52549667e-03
0.85            	airfoil	6.05985252e-05	5.50246910e-03	1.53174901e-03
0.855           	airfoil	4.30916670e-05	5.51092914e-03	1.53796194e-03
0.86            	airfoil	3.21149923e-05	5.51905532e-03	1.54408225e-03
0.865           	airfoil	5.00596957e-05	5.52687744e-03	1.55023766e-03
0.87            	airfoil	5.32795678e-05	5.53442964e-03	1.55644952e-03
0.875           	airfoil	4.34595301e-05	5.54173240e-03	1.56251696e-03
0.88            	airfoil	4.44452239e-05	5.54880246e-03	1.56854737e-03
0.885           	airfoil	8.53159953e-05	5.55565244e-03	1.57470556e-03
0.89            	airfoil	1.08938761e-04	5.56229423e-03	1.58065178e-03
0.895           	airfoil	3.37135385e-05	5.56873746e-03	1.58639991e-03
0.9             	airfoil	9.67844733e-05	5.57499090e-03	1.59227834e-03
0.905           	airfoil	8.60378551e-05	5.58106203e-03	1.59804013e-03
0.91            	airfoil	1.04835544e-04	5.58695751e-03	1.60371359e-03
0.915           	airfoil	8.69522918e-05	5.59268347e-03	1.60946682e-03
